"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"32",Aug 1989,9.95,76271,508.473333333333,599.864622747259,108.050583333333,707.915206080592,-199.441872747259,"Rent"
"33",Sep 1989,10.126,76421,509.473333333333,609.997831014425,108.263083333333,718.260914347758,-208.787581014425,"Rent"
"34",Oct 1989,9.99,76488,509.92,603.604611585327,108.358,711.962611585327,-202.042611585327,"Rent"
"35",Nov 1989,9.778,76521,510.14,593.106817508364,108.40475,701.511567508364,-191.371567508364,"Rent"
"36",Dec 1989,9.744,76498,509.986666666667,591.209008001134,108.372166666667,699.5811746678,-189.594508001134,"Rent"
"37",Jan 1990,9.872,76527,510.18,597.91684081813,108.41325,706.33009081813,-196.15009081813,"Rent"
"38",Feb 1990,10.168,76587,510.58,613.469731837216,108.49825,721.967981837216,-211.387981837216,"Rent"
"39",Mar 1990,10.275,76790,511.933333333333,620.589338648469,108.785833333333,729.375171981803,-217.441838648469,"Rent"
"40",Apr 1990,10.34,77038,513.586666666667,625.948272946644,109.137166666667,735.085439613311,-221.498772946644,"Rent"
"41",May 1990,10.494,77297,515.313333333333,636.047386875249,109.504083333333,745.551470208583,-230.238136875249,"Rent"
"42",Jun 1990,10.164,77505,516.7,620.615997561191,109.79875,730.414747561191,-213.714747561191,"Rent"
"43",Jul 1990,10.058,77561,517.073333333333,615.581907672248,109.878083333333,725.459991005581,-208.386657672248,"Rent"
"44",Aug 1990,10.08,77479,516.526666666667,616.066627718173,109.761916666667,725.828544384839,-209.301877718173,"Rent"
"45",Sep 1990,10.188,77229,514.86,619.64386689736,109.40775,729.05161689736,-214.19161689736,"Rent"
"46",Oct 1990,10.186,76912,512.746666666667,616.997666495257,108.958666666667,725.956333161924,-213.209666495257,"Rent"
"47",Nov 1990,10.04,76381,509.206666666667,605.301083597095,108.206416666667,713.507500263762,-204.300833597095,"Rent"
"48",Dec 1990,9.718,75972,506.48,585.838955342448,107.627,693.465955342448,-186.985955342448,"Rent"
